club,leagueCountry,birthday,position,redCards,meanIAT_redCards,ties,meanExp_yellowReds,yellowCards,meanIAT_yellowCards,meanExp_redCards,skin_color,height,meanExp_yellowCards,victories,meanIAT_yellowReds,defeats,games,goals,weight
11,1,5728.0,5,0,-0.0014345155289618213,63,0.00023804904199818281,66,0.06040353107847585,-0.008556258971316425,0,184.0,0.06028487476248104,88,0.00023851758443873506,60,211,9,79.0
12,0,5509.0,4,0,-0.0013981293636601973,54,-0.0014743376459469427,4,-0.03717031733210694,-0.005540452845072421,0,188.0,-0.041168572597242915,83,-0.0013224596812972176,69,206,1,90.0
13,1,6928.0,7,0,-0.0015759386070235658,34,-0.002044175299971248,21,0.009445629738874705,-0.0070830537353594285,0,188.0,0.00925331822416134,46,-0.001490645516901459,51,131,13,76.0
14,0,6403.0,7,0,-0.00140803278476473,68,-0.0015079199887186308,21,-0.02362033682444605,-0.017533915055384867,0,175.0,-0.02581804328713841,145,-0.001331827108559718,126,339,55,62.0
15,3,6737.0,0,1,0.002740657190618491,18,0.004688089692114995,14,0.013874383489675866,-6.72822414328416e-05,0,190.0,0.019457148883229143,28,0.003032258345934116,36,82,1,76.0
16,0,7788.0,8,1,0.0010906315445996914,31,0.003936161313919147,29,0.028872290905356632,0.0014614007987016626,0,173.0,0.030936319736443018,55,0.00366038911098309,45,131,4,73.0
17,1,6551.0,9,0,-0.001453972137570544,40,0.00030220377559702423,18,-0.011839748294376472,-0.007297180493878448,0,193.0,-0.01440138460729339,83,0.0004743251616380876,59,182,51,87.0
18,3,6341.0,4,1,0.00683322301678905,6,-0.0023568811679411873,1,-0.04117882792403112,0.062084930453108624,0,190.0,-0.07383959479258907,22,-0.0014882911996828502,16,44,0,88.0
19,0,7083.0,7,0,-0.0013939391671456008,56,0.00029397862741083235,23,-0.007101937589950371,-0.006743200395713404,0,180.0,-0.005814684103155,67,0.00024461226760478963,86,209,41,78.0
20,3,5839.0,0,3,0.002083795316762007,71,0.0008373845327879258,59,0.02530884803153148,0.004238692616105432,0,190.0,0.03432323138111064,144,0.0011176369750995263,71,286,20,88.0
21,3,5434.0,9,0,-0.001571531116123546,43,0.0009457711339437733,22,-0.00355849105412198,-0.016719289898254434,0,171.0,-0.006147154473332877,53,0.0005915773313101293,82,178,39,69.0
22,2,3294.0,10,3,0.000971573937715081,120,0.0002467549020374312,90,0.02476042352992186,0.006796640290316918,0,180.0,0.03610097422637285,199,0.00020492287632616304,134,453,178,74.0
23,3,6581.0,9,0,-0.0015564717302459696,62,-0.002272265073848466,16,-0.02868590612529875,-0.02013296576344205,0,183.0,-0.041891353425158116,145,-0.001472232228168466,87,294,60,73.0
24,3,4888.0,4,0,-0.001576273656842459,11,-0.00237130138181573,3,-0.011063880566613045,-0.0026798801194590363,0,188.0,-0.017596550183279998,10,-0.0014909624331241134,8,29,0,82.0
25,3,5412.0,7,3,0.0014195898873941655,59,-0.0007435098211708729,58,0.008448950260360634,0.043316237907759694,0,172.0,0.012029550785411484,229,-0.00047957089701063446,85,373,33,67.0
26,2,9223.0,5,0,-0.0014623229656546904,14,-0.0017523280639090972,11,0.011920615138998992,-0.004233276071222161,0,188.0,0.03314905238222468,42,-0.0013831789914279414,10,66,6,71.0
27,3,4059.0,9,4,0.003024226606056435,82,0.003130570004676979,68,0.02854285526257647,0.07002669153505903,0,182.0,0.044355510006999915,125,0.001960499647936082,115,322,105,78.0
28,3,6263.0,9,0,-0.0015771344152012918,62,-0.0023914766440051717,8,-0.03455992839407049,-0.01659249805870284,0,187.0,-0.05559050213332478,78,-0.0014917766054421279,60,200,52,77.0
29,1,8667.0,1,0,-0.0014345155289618207,1,-0.0013542111115577465,1,-0.022450604371343955,-0.0016225905857844044,0,179.0,-0.02240650254552355,6,-0.0013568765513087575,8,15,4,69.0
30,2,6939.0,7,1,0.0011543983815436524,42,-0.0012992001475684253,17,-0.00020143308349111208,0.007708357572119163,1,176.0,0.005048795288353586,39,-0.0013432347179370375,49,130,31,66.0
30,2,5130.0,5,1,3.732245914228621e-05,67,0.0016079214007241119,60,0.04134579777655906,0.00317115679881761,0,180.0,0.044024930034267495,70,0.0015429849151607422,97,234,3,74.0
20,3,2800.0,5,6,0.002327261072810383,139,0.0008762762077303301,197,0.07969943781432891,0.05920802406271038,0,181.0,0.1236139440357824,292,0.0005055585274103127,130,561,11,77.0
31,3,6966.0,0,3,0.004978632100835421,50,-0.0023333235157109253,69,0.09997847602647382,0.03270400900736075,0,186.0,0.16118661735124315,51,-0.0014816702229822087,70,171,4,82.0
32,2,4444.0,2,1,0.000471636794299946,52,0.002368639450702459,39,0.030557377990317193,0.0019292759459401585,0,170.0,0.03238055055630309,77,0.002462097611651681,46,175,11,68.0
33,3,4178.0,11,1,0.0003418714356477709,41,-0.0031197174007826407,36,0.018337042011401947,-0.008092943095615666,0,175.0,0.036695698598723056,104,-0.001498391300826091,52,197,45,73.0
1,1,7696.0,5,0,-0.0014530552051443815,36,0.0009528032163801849,22,0.008981883483596069,-0.006341608259318723,0,175.0,0.004139474968132747,50,0.001100794256775122,50,136,1,68.0
9,0,5792.0,6,3,0.0026579129813202565,57,0.005634836447698195,50,0.015200127239495957,0.005387926527003996,0,187.0,0.022390031801423547,138,0.0032406162940330297,90,285,28,80.0
