playerShort,club,leagueCountry,birthday,position,yellowCards,redCards,victories,goals,meanIAT_yellowCards,meanIAT_redCards,meanExp_yellowReds,games,meanExp_redCards,ties,meanExp_yellowCards,height,defeats,meanIAT_yellowReds,weight,skin_color
elkin-soto,1. FSV Mainz 05,Germany,3868.0,Defensive Midfielder,23,1,106,18,-0.012012582263771193,-3.108715181481274e-05,-0.00016905624286390298,237,-0.00025984192070225746,57,-0.012722566834694747,179.0,74,4.746884979850296e-05,76.0,0.0
elustondo_2,Real Sociedad,Spain,6285.0,Defensive Midfielder,18,0,48,5,0.0050890661688704495,-0.0015740926006606874,0.007169196935447773,123,-0.0025337445577468328,35,0.008442790238344811,184.0,40,0.004525630566523366,79.0,0.0
emanuel-herrera,Montpellier HSC,France,6311.0,Center Forward,4,0,31,27,-0.03041686030961716,-0.0014751360530958968,-0.002043520428022236,90,-0.0021604484099316925,25,-0.042141444691834014,186.0,34,-0.001395298607805621,,0.0
emanuel-pogatetz,VfL Wolfsburg,Germany,4763.0,Center Back,79,3,152,13,0.017038691272230636,0.0008644312790556589,-6.068650199378979e-05,429,0.0009526328376449176,114,0.02077951853178077,189.0,163,0.00020284535125246722,90.0,0.25
emiliano-armenteros,CA Osasuna,Spain,5861.0,Left Midfielder,54,4,93,46,0.02797940727669886,0.004125901449814816,-0.00014774100868972443,259,0.006528091947621497,64,0.04503401389259978,179.0,102,-7.270260164669431e-05,78.0,0.5
emir-spahic,Sevilla FC,Spain,3882.0,Center Back,84,3,111,13,0.06621527005982161,0.0022490101000532748,0.007283387944852026,266,0.0012137787944065438,66,0.11273606786991225,185.0,89,0.005255752267271269,80.0,0.25
emmanuel-adebayor,Tottenham Hotspur,England,5169.0,Center Forward,43,5,234,170,-0.012923513573769564,0.0022637849161728225,-0.0006720932971823458,450,0.00232211166540421,116,-0.016696972116238985,190.0,100,-0.0005997940554320425,75.0,1.0
emmerson-boyce,Wigan Athletic,England,3553.0,Center Back,33,0,120,14,-0.013366360618748803,-0.0013893872600196453,-0.0004329716392451826,358,-0.0015103742442668373,88,-0.014409730491104984,183.0,150,-0.0004016497025746959,78.0,1.0
emre-beloezoglu,Atlético Madrid,Spain,3902.0,Center Midfielder,100,4,241,43,0.028750245360725603,0.0016641079853835388,0.00439875942070869,465,0.002340817230367566,103,0.026307205792952846,170.0,121,0.002546212911940725,68.0,0.25
emre-can,Bayern München,Germany,8777.0,Center Midfielder,34,0,60,11,0.05295539756494805,-0.001449062118634177,0.002248059087668516,117,-0.0016847295612099182,23,0.05967247361228876,184.0,34,0.0016837504117142108,82.0,0.5
enda-stevens,Aston Villa,England,7494.0,Left Fullback,8,0,12,0,0.009378660918074041,-0.0014831918179831318,-0.0020816465136160762,49,-0.002200756028034562,9,0.023283465688778402,183.0,28,-0.0014029183778657315,74.0,0.125
eren-derdiyok,1899 Hoffenheim,Germany,6737.0,Center Forward,27,0,133,70,-0.014163349474298838,-0.0014613780587735268,-0.00045885153434130853,288,-0.0017184070225007397,71,-0.019481801228691406,190.0,84,-0.00021343743792754947,83.0,0.375
eric-abidal,FC Barcelona,Spain,3540.0,Left Fullback,34,4,268,2,-0.020817382577829634,0.0017114121054259074,-0.0019130142916725492,457,0.00342292693546759,107,-0.0283131483530171,186.0,82,-0.0014147952313382057,75.0,0.75
erik-wille,Eintracht Frankfurt,Germany,8487.0,Center Back,14,2,42,16,0.00042284770566144216,0.005039102983398199,-0.0013542111115577456,104,0.005029204201236744,13,0.0004220170662917752,183.0,49,-0.001356876551308757,74.0,0.0
erwin-hoffer,Eintracht Frankfurt,Germany,6312.0,Center Forward,23,0,120,89,-0.01714955123915255,-0.0014613027523944504,-0.0016204361333275127,274,-0.0017131556991732643,61,-0.02002314223984625,177.0,93,-0.0013822139942409435,72.0,0.125
etienne-didot,Toulouse FC,France,4952.0,Defensive Midfielder,44,0,133,14,-0.002367273355821549,-0.0014299359777343674,0.0015142887906483512,347,-0.0014711023582255284,94,-0.0034248940719109923,175.0,120,0.001540975858389704,65.0,0.125
eugen-polanski,1. FSV Mainz 05,Germany,5919.0,Attacking Midfielder,65,2,96,9,0.042762671085130564,0.001185977788688932,-0.00023992596714374393,254,0.0009933663555728672,63,0.05068855002123954,183.0,95,-6.0060687649021795e-05,73.0,0.0
evaldo,Deportivo La Coruña,Spain,4459.0,Left Fullback,28,0,98,6,2.864554398791995e-06,-0.0016529743067481496,-0.00015316172855629807,210,-0.003123635159035043,51,-0.0009249264328055644,183.0,61,0.00019788618395665932,80.0,0.75
ever-banega,Valencia CF,Spain,6754.0,Defensive Midfielder,75,1,160,15,0.039634590788071675,-0.0005127723787401726,0.0054787978653443445,310,-0.0013879889985045513,75,0.06202587246957156,174.0,75,0.0033524710674198237,71.0,0.125
ezequiel-lavezzi,Paris Saint-Germain,France,5601.0,Center Forward,62,4,195,97,0.009259766534568732,0.0020307000070912107,-0.0020989697189969037,396,0.002726322097842437,97,0.014227349273276282,173.0,104,-0.0014889730080904398,71.0,0.25
ezequiel_3,SC Freiburg,Germany,7681.0,Left Midfielder,11,1,36,3,-0.0010641727391290036,0.002788069006028786,-0.0023060857495992948,85,0.004483107412483432,19,-0.00016462967564173355,169.0,30,-0.0014789939377197,59.0,0.25
fabian-giefer,Fortuna Düsseldorf,Germany,7441.0,Goalkeeper,9,2,48,0,-0.02268163489277367,0.00351378909827773,-0.0013750977604584482,136,0.0034869102585475624,33,-0.023262230382217315,196.0,55,-0.0013588719084480906,93.0,0.0
fabian-johnson,1899 Hoffenheim,Germany,6553.0,Left Fullback,8,0,95,12,-0.035275522332661916,-0.0014381320746839144,-0.0013909123117930367,276,-0.0014704987780699496,75,-0.0361091338263843,178.0,106,-0.001360297362020091,64.0,0.25
fabian-orellana,Granada CF,Spain,5870.0,Right Winger,37,5,103,46,0.004910711431002223,0.005757736177401833,0.005084439381216103,251,0.010540533264345444,57,0.013292227440126536,169.0,91,0.0028691414604391182,70.0,0.5
fabien-audard,FC Lorient,France,3008.0,Goalkeeper,11,5,76,0,-0.02930775830553597,0.005545895918414459,-0.0013729184674664198,240,0.005550628052804992,79,-0.030018603814856007,188.0,85,-0.0013494700586843913,89.0,0.125
fabien-camus,ESTAC Troyes,France,5537.0,Left Midfielder,28,1,104,36,-0.010236434624753434,-0.00016423794888558688,0.004278218729437209,267,-0.00010322863426173513,65,-0.014085476893248005,176.0,98,0.0026351777499706783,68.0,0.25
fabio-borini,Liverpool FC,England,7751.0,Center Forward,17,0,53,32,0.002730267731652933,-0.0014725872108267853,0.0023583199611845857,119,-0.0018729025066866146,25,0.0014133696683546304,180.0,41,0.0012428958687838783,73.0,0.125
fabio-coentrao,Real Madrid,Spain,6644.0,Left Fullback,51,1,149,16,0.028922867542044296,-5.668620365867389e-05,0.01216254568174824,242,-0.00020925232528716154,38,0.044833752992035285,179.0,55,0.0064766389985279355,70.0,0.375
fabio_13,Queens Park Rangers,England,7494.0,Left Fullback,14,2,47,4,0.005321277327642557,0.005531201009710126,-0.001590212295157065,94,0.00590274564728579,18,0.004786070853304312,172.0,29,-0.0013428092620051853,65.0,0.0
